p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   251.062000      0.974
  1.1500   235.584000      1.366
  1.1000   222.364000      1.885
  1.0500   208.691000      2.716
  1.0000   195.521000      3.989
  0.9750   189.437000      4.819
  0.9500   183.431000      5.850
