p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.981000      0.940
  1.1500   231.702000      1.301
  1.1000   218.007000      1.838
  1.0500   204.133000      2.704
  1.0000   191.935000      3.915
  0.9750   185.504000      4.817
  0.9500   179.313000      5.930
