p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   243.088000      0.799
  1.1500   229.273000      1.176
  1.1000   215.631000      1.792
  1.0500   202.336000      2.809
  1.0000   190.522000      4.329
  0.9750   184.567000      5.450
  0.9500   178.144000      7.056
