p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   243.194000      0.953
  1.1500   229.354000      1.323
  1.1000   215.627000      1.897
  1.0500   202.382000      2.781
  1.0000   190.708000      4.011
  0.9750   184.609000      4.912
  0.9500   178.260000      6.119
