#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  245.935000  -466.80886226
  230.991000  -466.80562328
  217.691000  -466.80082975
  204.242000  -466.79413858
  191.593000  -466.78432731
  185.152000  -466.77754253
  179.154000  -466.77056359
