p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.283000      0.961
  1.1500   230.651000      1.343
  1.1000   217.769000      1.861
  1.0500   204.178000      2.716
  1.0000   191.899000      3.940
  0.9750   185.695000      4.811
  0.9500   179.514000      5.918
