p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   260.287000      0.902
  1.1500   245.308000      1.261
  1.1000   231.219000      1.789
  1.0500   216.535000      2.671
  1.0000   203.782000      3.903
  0.9750   197.601000      4.741
  0.9500   191.119000      5.861
