p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   255.380000      0.855
  1.1500   240.138000      1.239
  1.1000   226.477000      1.790
  1.0500   213.511000      2.620
  1.0000   199.272000      4.130
  0.9750   193.728000      4.985
  0.9500   187.572000      6.189
