p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   257.820000      0.813
  1.1500   242.961000      1.182
  1.1000   228.682000      1.761
  1.0500   215.860000      2.603
  1.0000   201.433000      4.198
  0.9750   196.024000      5.077
  0.9500   189.460000      6.447
