#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  249.097000  -466.84072234
  233.449000  -466.83761430
  220.583000  -466.83302989
  207.372000  -466.82597464
  194.276000  -466.81600771
  187.876000  -466.80889873
  181.747000  -466.80121315
