p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   252.319000      1.000
  1.1500   237.034000      1.370
  1.1000   223.451000      1.870
  1.0500   209.924000      2.628
  1.0000   197.397000      3.704
  0.9750   190.949000      4.470
  0.9500   184.815000      5.384
