#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  246.174000  -466.81608686
  231.187000  -466.81277606
  217.990000  -466.80786122
  204.377000  -466.80011522
  191.687000  -466.79183749
  185.512000  -466.78506874
  179.643000  -466.77561978
