p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   249.097000      0.854
  1.1500   233.449000      1.263
  1.1000   220.583000      1.806
  1.0500   207.372000      2.695
  1.0000   194.276000      4.152
  0.9750   187.876000      5.197
  0.9500   181.747000      6.498
