p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.839000      0.916
  1.1500   231.342000      1.286
  1.1000   217.877000      1.827
  1.0500   204.185000      2.705
  1.0000   191.914000      3.970
  0.9750   185.223000      4.960
  0.9500   179.393000      6.069
