#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  257.354000  -466.85048407
  242.090000  -466.84721027
  228.164000  -466.84230094
  214.678000  -466.83581461
  201.359000  -466.82498679
  195.554000  -466.81958833
  189.109000  -466.81258921
