p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   247.297000      0.817
  1.1500   233.319000      1.169
  1.1000   219.141000      1.749
  1.0500   205.477000      2.681
  1.0000   192.709000      4.140
  0.9750   186.487000      5.183
  0.9500   180.549000      6.477
