p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   260.640000      0.803
  1.1500   245.524000      1.163
  1.1000   231.495000      1.700
  1.0500   216.500000      2.654
  1.0000   204.411000      3.920
  0.9750   198.085000      4.863
  0.9500   191.604000      6.116
