p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   255.990000      0.829
  1.1500   241.111000      1.209
  1.1000   227.275000      1.783
  1.0500   213.498000      2.721
  1.0000   199.683000      4.316
  0.9750   194.234000      5.234
  0.9500   188.616000      6.427
