#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  260.640000  -466.85097575
  245.524000  -466.84786794
  231.495000  -466.84308665
  216.500000  -466.83619642
  204.411000  -466.82667791
  198.085000  -466.82027907
  191.604000  -466.81260633
