#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  245.980000  -466.80557513
  231.703000  -466.80286761
  218.008000  -466.79885387
  204.132000  -466.78993094
  191.938000  -466.78184988
  185.506000  -466.77532158
  179.319000  -466.76775362
