p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   246.174000      0.824
  1.1500   231.746000      1.195
  1.1000   217.593000      1.790
  1.0500   203.819000      2.757
  1.0000   191.085000      4.255
  0.9750   184.973000      5.306
  0.9500   178.723000      6.710
