p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   256.576000      0.830
  1.1500   241.371000      1.208
  1.1000   227.587000      1.762
  1.0500   213.771000      2.665
  1.0000   200.452000      4.112
  0.9750   194.958000      4.969
  0.9500   189.011000      6.143
