#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  246.877000  -466.83225070
  232.809000  -466.82880426
  218.705000  -466.82443209
  204.882000  -466.81723273
  192.740000  -466.80762559
  185.899000  -466.80165731
  179.982000  -466.79178673
