p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   244.224000      0.968
  1.1500   230.194000      1.325
  1.1000   216.672000      1.853
  1.0500   203.219000      2.674
  1.0000   191.121000      3.828
  0.9750   185.040000      4.637
  0.9500   179.071000      5.638
