#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  257.820000  -466.85073249
  242.961000  -466.84772611
  228.682000  -466.84275872
  215.860000  -466.83633820
  201.433000  -466.82600251
  196.024000  -466.81901455
  189.460000  -466.81132467
