p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.653000      0.891
  1.1500   231.066000      1.265
  1.1000   217.846000      1.799
  1.0500   204.175000      2.684
  1.0000   191.752000      3.988
  0.9750   186.026000      4.839
  0.9500   179.855000      6.009
