p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   258.848000      0.812
  1.1500   243.786000      1.180
  1.1000   230.120000      1.718
  1.0500   215.526000      2.665
  1.0000   202.824000      4.037
  0.9750   196.782000      4.975
  0.9500   190.457000      6.241
