p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   243.736000      0.807
  1.1500   229.924000      1.168
  1.1000   216.389000      1.744
  1.0500   202.710000      2.722
  1.0000   190.830000      4.142
  0.9750   184.912000      5.167
  0.9500   178.472000      6.636
