p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   255.188000      0.825
  1.1500   239.966000      1.197
  1.1000   225.786000      1.760
  1.0500   212.342000      2.626
  1.0000   198.977000      4.048
  0.9750   193.088000      4.954
  0.9500   187.068000      6.138
