p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   253.244000      0.941
  1.1500   237.713000      1.324
  1.1000   224.110000      1.845
  1.0500   210.736000      2.638
  1.0000   197.959000      3.825
  0.9750   191.464000      4.675
  0.9500   185.276000      5.704
