p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   249.885000      0.884
  1.1500   233.948000      1.303
  1.1000   220.891000      1.855
  1.0500   208.313000      2.689
  1.0000   194.381000      4.210
  0.9750   188.721000      5.109
  0.9500   182.529000      6.364
