p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   258.055000      0.892
  1.1500   243.901000      1.241
  1.1000   229.248000      1.810
  1.0500   216.479000      2.595
  1.0000   202.445000      3.991
  0.9750   196.507000      4.842
  0.9500   189.853000      6.065
