p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   247.883000      0.779
  1.1500   233.318000      1.151
  1.1000   219.556000      1.735
  1.0500   205.951000      2.706
  1.0000   193.026000      4.282
  0.9750   186.802000      5.414
  0.9500   181.057000      6.777
