p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   127.788000      0.863
  1.1500   119.071000      1.226
  1.1000   110.556000      1.807
  1.0500   102.459000      2.729
  1.0000    95.230000      4.098
  0.9750    91.269000      5.205
  0.9500    87.427000      6.642
