p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   246.239000      0.858
  1.1500   232.030000      1.214
  1.1000   217.721000      1.789
  1.0500   204.136000      2.684
  1.0000   191.234000      4.086
  0.9750   185.049000      5.061
  0.9500   179.184000      6.248
