p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   253.954000      0.863
  1.1500   239.232000      1.235
  1.1000   225.434000      1.793
  1.0500   212.297000      2.643
  1.0000   198.730000      4.086
  0.9750   192.280000      5.093
  0.9500   186.706000      6.204
