#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  250.497000  -466.84328700
  234.639000  -466.84019160
  221.869000  -466.83611123
  208.593000  -466.82779716
  194.981000  -466.81823736
  189.280000  -466.81215478
  182.808000  -466.80372291
