p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   253.543000      0.857
  1.1500   238.457000      1.238
  1.1000   224.801000      1.792
  1.0500   211.612000      2.648
  1.0000   198.293000      4.063
  0.9750   191.927000      5.049
  0.9500   185.935000      6.244
