geom 1
3 1.10 220.384 0.96081685015893
4 1.05 206.628 0.940395006636763
5 1.00 193.604 0.920206646321321
6 0.975 187.318 0.910137679517048
7 0.95 181.466 0.900559362874971
geom 24
1 1.2 247.883 1
2 1.15 233.318 0.980017506625449
3 1.10 219.556 0.960357329900595
4 1.05 205.951 0.94009639471078
5 1.00 193.026 0.920003944055727
6 0.975 186.802 0.910007404438739
7 0.95 181.057 0.900581163100279
geom 25
1 1.2 247.297 1
2 1.15 233.319 0.980792387020321
3 1.10 219.141 0.960509350558304
4 1.05 205.477 0.940116026110761
5 1.00 192.709 0.92022575350563
6 0.975 186.487 0.910213428073485
7 0.95 180.549 0.900448225360632
geom 26
1 1.2 246.877 1
2 1.15 232.809 0.980632715751276
3 1.10 218.705 0.960415941750009
4 1.05 204.882 0.939740025039154
5 1.00 192.740 0.920796672314045
6 0.975 185.899 0.909771108281962
7 0.95 179.982 0.900014446908439
geom 27
1 1.2 246.882 1
2 1.15 232.370 0.980009330014948
3 1.10 218.556 0.960191304972758
4 1.05 204.825 0.93964652542587
5 1.00 191.896 0.919444455827847
6 0.975 185.744 0.909512046402358
7 0.95 179.621 0.899406235798321
geom 28
1 1.2 246.590 1
2 1.15 231.985 0.979854251502363
3 1.10 218.131 0.959947119822822
4 1.05 204.342 0.93927780405898
5 1.00 191.703 0.919498763514576
6 0.975 185.172 0.908935959837642
7 0.95 179.396 0.899385258463461
geom 29
1 1.2 246.239 1
2 1.15 232.030 0.980382989106954
3 1.10 217.721 0.959800917019281
4 1.05 204.136 0.93940799919772
5 1.00 191.234 0.919184636440442
6 0.975 185.049 0.909166241085257
7 0.95 179.184 0.89945780802651
geom 30
1 1.2 246.174 1
2 1.15 231.746 0.980069080444804
3 1.10 217.593 0.959697240049976
4 1.05 203.819 0.939004113281471
5 1.00 191.085 0.919026719435622
6 0.975 184.973 0.909121759589968
7 0.95 178.723 0.898764867868599
geom 31
1 1.2 245.840 1
2 1.15 230.750 0.979106019991054
3 1.10 217.688 0.960271369782194
4 1.05 203.968 0.939658031351675
5 1.00 191.076 0.919428294562801
6 0.975 184.872 0.909367713438719
7 0.95 178.741 0.899201892027319
geom 32
1 1.2 245.935 1
2 1.15 230.991 0.979320637370055
3 1.10 217.691 0.96015211965918
4 1.05 204.242 0.939957545252402
5 1.00 191.593 0.920138281442826
6 0.975 185.152 0.909709414970743
7 0.95 179.154 0.899778040801765
geom 33
1 1.2 245.839 1
2 1.15 231.342 0.979943947869711
3 1.10 217.877 0.960550499155988
4 1.05 204.185 0.939992419452058
5 1.00 191.914 0.92077169185479
6 0.975 185.223 0.909944095215731
7 0.95 179.393 0.900295136408527
geom 34
1 1.2 245.980 1
2 1.15 231.703 0.980266030730041
3 1.10 218.008 0.96055936645589
4 1.05 204.132 0.939731456163477
5 1.00 191.938 0.920634097874102
6 0.975 185.506 0.910233303286708
7 0.95 179.319 0.899999297342706
geom 35
1 1.2 245.981 1
2 1.15 231.702 0.980263292118224
3 1.10 218.007 0.960556596091066
4 1.05 204.133 0.939731717225947
5 1.00 191.935 0.920628053767752
6 0.975 185.504 0.910228798631074
7 0.95 179.313 0.899988039668081
geom 36
1 1.2 245.831 1
2 1.15 231.322 0.979926337233959
3 1.10 218.194 0.961026548751709
4 1.05 204.474 0.940445894836945
5 1.00 191.682 0.920410493668092
6 0.975 185.742 0.910803078640359
7 0.95 179.553 0.900572482388934
geom 37
1 1.2 245.788 1
2 1.15 231.577 0.980343444916405
3 1.10 218.139 0.96100182864138
4 1.05 204.583 0.940667824020585
5 1.00 191.575 0.920292860495905
6 0.975 185.636 0.91068288644558
7 0.95 179.639 0.900768763963611
geom 38
1 1.2 246.174 1
2 1.15 231.187 0.97928043007166
3 1.10 217.990 0.960280543628344
4 1.05 204.377 0.939860243581302
5 1.00 191.687 0.919990817618249
6 0.975 185.512 0.910003944986301
7 0.95 179.643 0.900304399109216
geom 39
1 1.2 245.653 1
2 1.15 231.066 0.979801254894155
3 1.10 217.846 0.960747299883538
4 1.05 204.175 0.940214253346708
5 1.00 191.752 0.920744804030292
6 0.975 186.026 0.91148709703197
7 0.95 179.855 0.901294694339577
geom 40
1 1.2 245.283 1
2 1.15 230.651 0.979706443016264
3 1.10 217.769 0.961116874963757
4 1.05 204.178 0.94069138211696
5 1.00 191.899 0.921442884620199
6 0.975 185.695 0.911403978979568
7 0.95 179.514 0.901177399575111
geom 41
1 1.2 244.795 1
2 1.15 230.495 0.980135957181687
3 1.10 217.423 0.961245486542341
4 1.05 203.418 0.940146670503267
5 1.00 191.614 0.9215980871565
6 0.975 185.450 0.911607937996502
7 0.95 179.301 0.901419031286081
geom 42
1 1.2 244.224 1
2 1.15 230.194 0.980472054431617
3 1.10 216.672 0.960885155316069
4 1.05 203.219 0.940571878592964
5 1.00 191.121 0.921524083406876
6 0.975 185.040 0.911645011607139
7 0.95 179.071 0.901735095966453
geom 43
1 1.2 243.736 1
2 1.15 229.924 0.98074222885593
3 1.10 216.389 0.961107206039269
4 1.05 202.710 0.940412727099186
5 1.00 190.830 0.921670435710157
6 0.975 184.912 0.912042631106505
7 0.95 178.472 0.901329260908675
geom 44
1 1.2 243.088 1
2 1.15 229.273 0.980685598626953
3 1.10 215.631 0.960835909108401
4 1.05 202.336 0.940668381781767
5 1.00 190.522 0.921992108340222
6 0.975 184.567 0.912284250913119
7 0.95 178.144 0.90157645143799
geom 45
1 1.2 243.194 1
2 1.15 229.354 0.980658554042263
3 1.10 215.627 0.960690349839133
4 1.05 202.382 0.940602962998369
5 1.00 190.708 0.922158028967326
6 0.975 184.609 0.912220871472593
7 0.95 178.260 0.901641062424875
