p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   246.882000      0.714
  1.1500   232.370000      1.084
  1.1000   218.556000      1.683
  1.0500   204.825000      2.714
  1.0000   191.896000      4.420
  0.9750   185.744000      5.651
  0.9500   179.621000      7.284
