p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.831000      0.969
  1.1500   231.322000      1.327
  1.1000   218.194000      1.820
  1.0500   204.474000      2.618
  1.0000   191.682000      3.794
  0.9750   185.742000      4.557
  0.9500   179.553000      5.558
