#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  256.576000  -466.85004811
  241.371000  -466.84692678
  227.587000  -466.84240398
  213.771000  -466.83425169
  200.452000  -466.82565027
  194.958000  -466.81934264
  189.011000  -466.81157353
