#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  255.380000  -466.84982620
  240.138000  -466.84580053
  226.477000  -466.84132677
  213.511000  -466.83515454
  199.272000  -466.82454492
  193.728000  -466.81758542
  187.572000  -466.81077500
