p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.980000      0.896
  1.1500   231.703000      1.253
  1.1000   218.008000      1.793
  1.0500   204.132000      2.673
  1.0000   191.938000      3.921
  0.9750   185.506000      4.859
  0.9500   179.319000      6.024
