#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  255.188000  -466.84868453
  239.966000  -466.84574379
  225.786000  -466.84097785
  212.342000  -466.83403732
  198.977000  -466.82426471
  193.088000  -466.81730457
  187.068000  -466.81076915
