#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  246.590000  -466.82616045
  231.985000  -466.82296420
  218.131000  -466.81842644
  204.342000  -466.81150089
  191.703000  -466.80190875
  185.172000  -466.79419179
  179.396000  -466.78699239
