p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.788000      0.916
  1.1500   231.577000      1.288
  1.1000   218.139000      1.842
  1.0500   204.583000      2.737
  1.0000   191.575000      4.143
  0.9750   185.636000      5.066
  0.9500   179.639000      6.255
