p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   248.461000      0.771
  1.1500   233.688000      1.142
  1.1000   220.384000      1.691
  1.0500   206.628000      2.635
  1.0000   193.604000      4.165
  0.9750   187.318000      5.265
  0.9500   181.466000      6.603
