p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   250.497000      0.871
  1.1500   234.639000      1.282
  1.1000   221.869000      1.812
  1.0500   208.593000      2.685
  1.0000   194.981000      4.165
  0.9750   189.280000      5.063
  0.9500   182.808000      6.375
