p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   259.618000      0.077
  1.1500   244.342000      0.249
  1.1000   230.319000      0.630
  1.0500   216.148000      1.589
  1.0000   203.130000      3.816
  0.9750   198.652000      5.209
  0.9500   190.775000      9.142
