#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  127.788000  -233.42180897
  119.071000  -233.41976434
  110.556000  -233.41691526
  102.459000  -233.41275805
   95.230000  -233.40705103
   91.269000  -233.40298451
   87.427000  -233.39777936
