p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   246.877000      0.786
  1.1500   232.809000      1.145
  1.1000   218.705000      1.739
  1.0500   204.882000      2.724
  1.0000   192.740000      4.178
  0.9750   185.899000      5.394
  0.9500   179.982000      6.788
