p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   257.354000      0.908
  1.1500   242.090000      1.280
  1.1000   228.164000      1.812
  1.0500   214.678000      2.620
  1.0000   201.359000      3.895
  0.9750   195.554000      4.678
  0.9500   189.109000      5.779
