p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.935000      0.891
  1.1500   230.991000      1.272
  1.1000   217.691000      1.809
  1.0500   204.242000      2.673
  1.0000   191.593000      3.989
  0.9750   185.152000      4.954
  0.9500   179.154000      6.111
