#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  247.883000  -466.83652861
  233.318000  -466.83394914
  219.556000  -466.82940183
  205.951000  -466.82204706
  193.026000  -466.81181584
  186.802000  -466.80591302
  181.057000  -466.79713338
