p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   245.840000      0.843
  1.1500   230.750000      1.232
  1.1000   217.688000      1.772
  1.0500   203.968000      2.692
  1.0000   191.076000      4.132
  0.9750   184.872000      5.143
  0.9500   178.741000      6.440
