p values averaged over 4 structures (Cyclohexane eta=3)
       f          p
                GPa
  1.2000      0.928
  1.1500      1.327
  1.1000      1.915
  1.0500      2.809
  1.0000      4.218
  0.9750      5.272
  0.9500      6.578
