p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   243.664000      1.040
  1.1500   230.399000      1.401
  1.1000   217.205000      1.945
  1.0500   204.623000      2.743
  1.0000   192.936000      3.878
  0.9750   186.948000      4.681
  0.9500   180.972000      5.692
