#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  128.703000  -233.41167299
  119.074000  -233.40958726
  110.697000  -233.40684903
  102.734000  -233.40255310
   94.961000  -233.39587287
   91.001000  -233.39149488
   87.320000  -233.38646490
