#Vc_Ger(Cyclohexane eta=3)
#          Vc         G_{er}
#       Ang^3           a.u.
  236.371000  -466.86555084
  222.766000  -466.86218361
  210.117000  -466.85767070
  198.507000  -466.85052945
  187.196000  -466.84226962
  181.384000  -466.83451481
  175.842000  -466.82866011
