p-Vc (Cyclohexane eta=3)
       f           Vc          p
                Ang^3        GPa
  1.2000   128.703000      0.845
  1.1500   119.074000      1.255
  1.1000   110.697000      1.855
  1.0500   102.734000      2.807
  1.0000    94.961000      4.389
  0.9750    91.001000      5.608
  0.9500    87.320000      7.124
